RPM,AF,EGT,IP,EP,label,zone
1926.7,11.4695,333.6833,1.4409,1.3625,HEALTHY,NONE
1851.9,10.3926,341.1637,1.3663,1.2713,HEALTHY,NONE
1536.0,5.4322,332.3066,1.0507,0.8955,HEALTHY,NONE
1695.1,7.7747,344.5444,1.2115,1.0952,HEALTHY,NONE
2135.8,14.872,350.6416,1.6877,1.5837,HEALTHY,NONE
1667.7,7.6216,335.8682,1.153,1.0926,HEALTHY,NONE
1601.4,6.0441,327.7448,1.0723,1.0079,HEALTHY,NONE
1842.6,9.8556,341.6011,1.3711,1.2672,HEALTHY,NONE
2190.0,15.0,372.7195,1.7466,1.6303,HEALTHY,NONE
1669.4,7.2925,325.9571,1.1934,1.0717,HEALTHY,NONE
1970.5,12.1128,349.7934,1.4787,1.4158,HEALTHY,NONE
2033.1,13.3914,353.9952,1.5542,1.4322,HEALTHY,NONE
1666.3,7.3541,338.7462,1.1278,1.0536,HEALTHY,NONE
2009.8,12.8201,350.9775,1.5256,1.418,HEALTHY,NONE
1757.4,8.6077,339.4127,1.2794,1.1671,HEALTHY,NONE
1942.6,11.9432,345.1725,1.4512,1.3852,HEALTHY,NONE
1943.5,11.9238,348.5192,1.4743,1.3495,HEALTHY,NONE
1875.0,10.6981,342.0362,1.3834,1.2394,HEALTHY,NONE
1563.2,5.9164,331.268,1.0551,0.9404,HEALTHY,NONE
2084.7,13.9638,352.3875,1.5919,1.5331,HEALTHY,NONE
1724.5,8.0356,338.1128,1.2255,1.1345,HEALTHY,NONE
1630.6,6.6316,331.3818,1.0619,1.0303,HEALTHY,NONE
1528.5,5.0687,332.0574,1.0073,0.9054,HEALTHY,NONE
1913.6,11.3772,345.4243,1.3965,1.3035,HEALTHY,NONE
1974.3,12.2916,339.8496,1.5191,1.4053,HEALTHY,NONE
1511.6,4.8528,331.8902,1.0082,0.8759,HEALTHY,NONE
1858.5,10.2556,338.3946,1.3785,1.3129,HEALTHY,NONE
1658.5,7.4072,329.6585,1.1826,1.0635,HEALTHY,NONE
1951.6,11.9466,344.6027,1.4514,1.3587,HEALTHY,NONE
1622.1,6.7645,337.975,1.1475,1.0003,HEALTHY,NONE
1983.7,12.5315,338.5044,1.5238,1.4033,HEALTHY,NONE
1770.7,9.0841,354.2245,1.2692,1.1691,HEALTHY,NONE
2155.7,15.0,363.0658,1.7146,1.6143,HEALTHY,NONE
1596.3,6.2445,330.9294,1.0624,0.9882,HEALTHY,NONE
1738.7,8.5919,336.6629,1.2227,1.1246,HEALTHY,NONE
1579.4,6.1028,330.3993,1.0541,1.004,HEALTHY,NONE
2147.3,15.0,359.9699,1.6722,1.5838,HEALTHY,NONE
2114.1,14.7094,358.933,1.6256,1.5622,HEALTHY,NONE
1680.6,7.5353,336.806,1.2005,1.0639,HEALTHY,NONE
1962.0,12.3436,348.5473,1.4764,1.3889,HEALTHY,NONE
2072.1,13.8169,352.6161,1.6081,1.5073,HEALTHY,NONE
1888.6,11.2044,343.6757,1.3905,1.2642,HEALTHY,NONE
1870.8,10.6372,342.5632,1.3461,1.3228,HEALTHY,NONE
1669.3,7.1509,339.1337,1.1692,1.0896,HEALTHY,NONE
1565.2,5.6907,331.2264,1.0125,0.9428,HEALTHY,NONE
2128.1,14.7272,341.7006,1.6605,1.5398,HEALTHY,NONE
2130.3,14.992,359.7941,1.637,1.5713,HEALTHY,NONE
1943.2,11.7235,348.1322,1.5009,1.3629,HEALTHY,NONE
1737.3,8.4054,336.7725,1.2559,1.1448,HEALTHY,NONE
1744.4,8.3048,335.2797,1.2475,1.1492,HEALTHY,NONE
2008.2,12.8111,356.029,1.557,1.4419,HEALTHY,NONE
2128.0,14.4646,361.1365,1.6449,1.5907,HEALTHY,NONE
2121.0,14.4765,352.1836,1.6651,1.5655,HEALTHY,NONE
2045.9,13.6071,354.3309,1.5767,1.4517,HEALTHY,NONE
1949.4,12.041,342.6128,1.4732,1.3952,HEALTHY,NONE
1558.9,5.6332,321.0468,1.0694,0.9768,HEALTHY,NONE
1613.1,6.3068,327.5234,1.1175,1.0659,HEALTHY,NONE
2129.0,14.8375,360.7614,1.6687,1.5404,HEALTHY,NONE
1924.5,11.5171,350.9906,1.4078,1.3457,HEALTHY,NONE
1506.4,4.5421,327.8873,0.9678,0.8453,HEALTHY,NONE
1571.0,5.9923,332.177,1.0547,0.9682,HEALTHY,NONE
1964.5,12.2993,350.8035,1.4861,1.3733,HEALTHY,NONE
1503.5,4.6356,321.9697,0.9612,0.9223,HEALTHY,NONE
1612.6,6.4466,332.7879,1.1504,0.9867,HEALTHY,NONE
1884.1,10.8918,348.2077,1.4274,1.2633,HEALTHY,NONE
1984.3,12.1848,352.9878,1.5179,1.3964,HEALTHY,NONE
1956.4,11.9991,353.7632,1.4769,1.336,HEALTHY,NONE
1657.0,7.063,336.3909,1.1462,1.0655,HEALTHY,NONE
1998.5,12.5718,351.6835,1.5022,1.38,HEALTHY,NONE
1666.1,7.2709,338.6545,1.1619,1.0609,HEALTHY,NONE
1727.8,8.5867,336.2564,1.2325,1.0857,HEALTHY,NONE
2022.5,13.2089,346.7178,1.5225,1.4409,HEALTHY,NONE
1954.7,11.924,346.9218,1.4804,1.4066,HEALTHY,NONE
2094.5,14.3687,350.9983,1.6223,1.5326,HEALTHY,NONE
1960.3,12.3105,344.6406,1.4416,1.3625,HEALTHY,NONE
1897.8,11.2222,344.1682,1.3947,1.3113,HEALTHY,NONE
1565.6,5.6869,324.3165,1.0429,0.9516,HEALTHY,NONE
1757.4,8.7019,336.3302,1.2972,1.1689,HEALTHY,NONE
1685.6,7.7362,324.814,1.1927,1.0542,HEALTHY,NONE
1670.8,7.4489,334.6061,1.1387,1.0773,HEALTHY,NONE
2181.1,15.0,359.0614,1.7292,1.5654,HEALTHY,NONE
1775.2,9.1833,334.673,1.2478,1.1662,HEALTHY,NONE
2124.4,14.928,359.5179,1.6796,1.5482,HEALTHY,NONE
1941.8,11.7188,351.7777,1.4502,1.3723,HEALTHY,NONE
2056.4,13.8607,344.7806,1.5822,1.4845,HEALTHY,NONE
1851.8,10.3652,338.7787,1.3885,1.2339,HEALTHY,NONE
1903.8,11.4927,341.3459,1.3927,1.2987,HEALTHY,NONE
1844.8,10.117,337.5386,1.3264,1.2583,HEALTHY,NONE
1636.7,7.0951,335.9809,1.1167,1.0268,HEALTHY,NONE
2005.7,12.8687,349.3167,1.5498,1.4175,HEALTHY,NONE
1696.5,7.7111,333.5045,1.163,1.0838,HEALTHY,NONE
1517.0,4.8155,315.8317,0.9418,0.9124,HEALTHY,NONE
1951.8,11.9143,350.7686,1.4615,1.3602,HEALTHY,NONE
1624.0,6.6918,325.0026,1.1256,1.0128,HEALTHY,NONE
2158.3,15.0,358.2157,1.7188,1.6381,HEALTHY,NONE
2167.8,15.0,359.7744,1.6957,1.5765,HEALTHY,NONE
2140.4,15.0,363.8235,1.6671,1.5383,HEALTHY,NONE
1759.1,9.1481,331.4115,1.2844,1.177,HEALTHY,NONE
1510.8,5.0463,310.4434,0.9544,0.8782,HEALTHY,NONE
2149.8,15.0,358.4104,1.6778,1.5792,HEALTHY,NONE
1799.7,9.4934,348.989,1.3092,1.1898,HEALTHY,NONE
2176.7,15.0,365.0277,1.7236,1.6095,HEALTHY,NONE
2174.5,15.0,359.775,1.7022,1.6443,HEALTHY,NONE
2097.1,14.1725,352.3972,1.629,1.5443,HEALTHY,NONE
1706.1,7.926,339.3413,1.154,1.121,HEALTHY,NONE
1769.6,8.7467,333.6107,1.2595,1.1443,HEALTHY,NONE
2095.8,14.3645,357.1716,1.6359,1.5038,HEALTHY,NONE
1721.8,8.3176,338.6196,1.2012,1.0641,HEALTHY,NONE
1618.6,6.469,336.2333,1.11,0.9926,HEALTHY,NONE
1889.8,11.1886,358.2863,1.4121,1.3223,HEALTHY,NONE
2155.3,15.0,359.7275,1.6846,1.6018,HEALTHY,NONE
1987.2,12.3185,346.8162,1.5124,1.4046,HEALTHY,NONE
1899.0,11.1371,344.8243,1.394,1.3128,HEALTHY,NONE
1568.0,5.8749,319.5558,1.0497,0.9401,HEALTHY,NONE
1930.5,11.8679,343.0517,1.4596,1.3515,HEALTHY,NONE
2193.0,15.0,357.6055,1.7356,1.6478,HEALTHY,NONE
1598.1,6.3683,327.2825,1.0747,0.9541,HEALTHY,NONE
1862.8,10.5085,343.9033,1.3784,1.2799,HEALTHY,NONE
2114.2,14.5775,351.596,1.6611,1.5655,HEALTHY,NONE
2018.5,13.1802,356.5321,1.502,1.4347,HEALTHY,NONE
1987.9,12.6472,349.3966,1.5329,1.4237,HEALTHY,NONE
1991.7,12.3752,349.5404,1.5072,1.4702,HEALTHY,NONE
1751.6,8.9268,335.9427,1.2617,1.1511,HEALTHY,NONE
1705.5,8.1618,336.0517,1.2271,1.111,HEALTHY,NONE
2066.6,13.735,357.4531,1.5677,1.4804,HEALTHY,NONE
2067.1,13.8968,349.0183,1.5815,1.4993,HEALTHY,NONE
2107.0,14.5602,352.0569,1.6332,1.5482,HEALTHY,NONE
2139.3,15.0,355.4448,1.6584,1.578,HEALTHY,NONE
1857.9,10.3522,336.1676,1.4033,1.2482,HEALTHY,NONE
1851.1,10.2221,338.4568,1.344,1.2653,HEALTHY,NONE
2058.8,13.699,350.5592,1.5756,1.5159,HEALTHY,NONE
1955.0,12.1894,352.1207,1.4781,1.3829,HEALTHY,NONE
1991.4,12.6873,350.8816,1.4895,1.4327,HEALTHY,NONE
2057.1,13.6187,353.8207,1.5769,1.4801,HEALTHY,NONE
2123.0,14.863,360.4047,1.6628,1.5714,HEALTHY,NONE
1736.6,8.0332,336.143,1.2302,1.1425,HEALTHY,NONE
1762.9,9.0609,340.0977,1.2636,1.1464,HEALTHY,NONE
1565.8,5.4205,327.7733,1.0408,0.9578,HEALTHY,NONE
1904.8,11.1427,346.5666,1.3892,1.2997,HEALTHY,NONE
1525.2,4.8525,323.3442,1.0137,0.8947,HEALTHY,NONE
1825.9,9.7196,329.1018,1.369,1.2376,HEALTHY,NONE
1879.9,10.9654,343.3212,1.3928,1.2984,HEALTHY,NONE
1700.6,7.8043,342.1427,1.2023,1.074,HEALTHY,NONE
1913.6,11.392,350.3102,1.4429,1.3501,HEALTHY,NONE
1521.4,4.9514,330.8945,0.9778,0.9146,HEALTHY,NONE
1526.1,5.108,332.4878,1.0424,0.8943,HEALTHY,NONE
2075.8,13.9911,354.2343,1.6092,1.4744,HEALTHY,NONE
1752.1,8.5208,338.5933,1.2864,1.1508,HEALTHY,NONE
1588.9,6.2076,326.3589,1.0619,0.9676,HEALTHY,NONE
1865.6,10.4848,341.6981,1.4133,1.2792,HEALTHY,NONE
2039.0,13.147,355.0286,1.5807,1.4579,HEALTHY,NONE
1651.1,7.0049,338.5732,1.1551,1.0039,HEALTHY,NONE
1936.0,11.9303,346.1039,1.4581,1.3456,HEALTHY,NONE
1559.7,5.7107,325.7362,1.0399,0.9388,HEALTHY,NONE
1536.2,5.1474,326.8115,1.0433,0.932,HEALTHY,NONE
1871.9,10.6103,346.6034,1.3866,1.2699,HEALTHY,NONE
1878.4,10.7201,336.703,1.3515,1.3245,HEALTHY,NONE
1946.2,12.1822,335.8291,1.4421,1.3262,HEALTHY,NONE
2008.3,12.9378,347.6605,1.5281,1.4581,HEALTHY,NONE
2183.1,15.0,353.0513,1.7278,1.6172,HEALTHY,NONE
1861.4,10.6457,340.5298,1.3713,1.2896,HEALTHY,NONE
1726.1,8.325,335.5646,1.2498,1.127,HEALTHY,NONE
2056.6,13.6285,350.5653,1.5453,1.5071,HEALTHY,NONE
1689.6,7.6661,341.7415,1.1887,1.0781,HEALTHY,NONE
1807.3,9.5998,341.9977,1.2773,1.1916,HEALTHY,NONE
1554.9,5.4991,329.2483,1.0548,0.968,HEALTHY,NONE
1517.7,5.009,328.9983,0.9974,0.897,HEALTHY,NONE
2173.9,15.0,352.9985,1.72,1.616,HEALTHY,NONE
2085.2,14.2419,359.4549,1.5981,1.54,HEALTHY,NONE
1987.2,12.5254,348.9803,1.5345,1.3883,HEALTHY,NONE
1786.3,9.2804,342.6658,1.3116,1.2027,HEALTHY,NONE
1621.3,6.285,325.706,1.1234,0.9999,HEALTHY,NONE
1609.5,6.5302,322.7065,1.0963,0.9962,HEALTHY,NONE
1675.2,7.5131,337.8479,1.1818,1.0716,HEALTHY,NONE
1884.5,11.0159,346.105,1.3833,1.2674,HEALTHY,NONE
2000.2,12.3151,345.5006,1.5402,1.4075,HEALTHY,NONE
1962.1,12.4433,343.7586,1.5147,1.4088,HEALTHY,NONE
1696.0,7.7783,340.4249,1.2142,1.1105,HEALTHY,NONE
2168.4,15.0,352.4732,1.6911,1.6044,HEALTHY,NONE
2016.5,12.859,359.0398,1.548,1.4457,HEALTHY,NONE
1888.0,11.0165,339.8993,1.3754,1.2954,HEALTHY,NONE
1928.2,11.4199,349.6022,1.4564,1.372,HEALTHY,NONE
1793.7,9.2963,338.0429,1.3079,1.1949,HEALTHY,NONE
1673.4,7.7196,336.6865,1.1309,1.0729,HEALTHY,NONE
1749.2,8.6366,334.7385,1.2273,1.1735,HEALTHY,NONE
2030.5,13.2748,350.7106,1.5503,1.4404,HEALTHY,NONE
1510.1,4.9055,325.7084,0.9849,0.9221,HEALTHY,NONE
1581.3,6.0074,324.0516,1.044,0.9376,HEALTHY,NONE
1532.2,5.1576,330.3142,1.0227,0.9476,HEALTHY,NONE
1528.5,5.1297,323.8594,1.016,0.9035,HEALTHY,NONE
2098.8,14.7144,353.7981,1.6263,1.5253,HEALTHY,NONE
1992.6,12.6163,344.6563,1.4997,1.377,HEALTHY,NONE
1831.9,10.0416,328.7844,1.3613,1.2313,HEALTHY,NONE
1568.5,5.8829,327.4691,1.0875,0.9336,HEALTHY,NONE
1844.1,10.3759,354.2696,1.344,1.2415,HEALTHY,NONE
1831.4,10.1815,345.4945,1.3276,1.2371,HEALTHY,NONE
1621.2,6.6795,330.9658,1.1215,1.0308,HEALTHY,NONE
1803.7,9.3807,338.8704,1.3026,1.2139,HEALTHY,NONE
1779.0,9.3947,339.06,1.2801,1.189,HEALTHY,NONE
1931.1,11.453,349.2903,1.4628,1.3261,HEALTHY,NONE
1944.6,11.8895,341.3242,1.4245,1.3451,HEALTHY,NONE
1531.7,5.0139,332.1572,1.0408,0.9504,HEALTHY,NONE
1762.2,8.8679,341.6883,1.2662,1.15,HEALTHY,NONE
1938.1,11.7883,350.496,1.4474,1.3888,HEALTHY,NONE
1852.2,10.3895,344.8021,1.3606,1.2575,HEALTHY,NONE
2099.5,14.4289,355.0752,1.6302,1.531,HEALTHY,NONE
1961.1,12.355,351.4186,1.446,1.402,HEALTHY,NONE
1614.1,6.5348,333.6618,1.1337,1.0293,HEALTHY,NONE
1549.4,5.3782,325.6997,1.0345,0.9314,HEALTHY,NONE
1949.7,12.0722,344.6167,1.4771,1.3605,HEALTHY,NONE
1518.6,5.0915,326.4372,1.0192,0.899,HEALTHY,NONE
1910.0,11.0983,353.2472,1.4048,1.3319,HEALTHY,NONE
2158.2,15.0,351.7125,1.704,1.6124,HEALTHY,NONE
1902.8,11.2703,337.804,1.412,1.3174,HEALTHY,NONE
1771.7,8.9873,339.4098,1.2919,1.1874,HEALTHY,NONE
1950.3,12.1438,347.7695,1.4264,1.4017,HEALTHY,NONE
1820.8,9.8076,341.9056,1.3263,1.2359,HEALTHY,NONE
1881.9,10.8439,345.3164,1.3826,1.3009,HEALTHY,NONE
2159.0,15.0,356.8353,1.7042,1.5651,HEALTHY,NONE
1770.3,9.0107,345.9629,1.2828,1.1208,HEALTHY,NONE
2172.8,15.0,350.6371,1.6964,1.6183,HEALTHY,NONE
2133.7,14.706,352.5448,1.6538,1.5662,HEALTHY,NONE
1637.1,7.0801,331.3364,1.1266,1.0185,HEALTHY,NONE
1548.6,5.274,319.2117,1.0148,0.9376,HEALTHY,NONE
1570.5,5.6102,327.648,1.0734,0.9554,HEALTHY,NONE
1512.8,4.4956,333.9451,0.9865,0.9164,HEALTHY,NONE
1566.1,5.5909,328.4099,0.9936,0.9535,HEALTHY,NONE
1978.1,12.1913,350.0587,1.4916,1.3841,HEALTHY,NONE
1549.8,5.6682,321.1908,1.0133,0.9539,HEALTHY,NONE
1723.3,8.3954,333.0823,1.1898,1.1181,HEALTHY,NONE
2091.4,14.1301,352.6947,1.5974,1.5326,HEALTHY,NONE
1516.3,5.214,324.2259,0.9999,0.8881,HEALTHY,NONE
2070.1,14.0343,359.9146,1.6256,1.486,HEALTHY,NONE
1697.3,7.7724,337.6534,1.2005,1.0959,HEALTHY,NONE
1582.7,5.582,323.5785,1.0577,0.9701,HEALTHY,NONE
1987.7,12.8898,350.6183,1.5186,1.4191,HEALTHY,NONE
1940.3,11.5656,349.5041,1.4488,1.3526,HEALTHY,NONE
2114.2,14.3577,361.4123,1.633,1.5102,HEALTHY,NONE
2014.5,13.1361,358.6302,1.5156,1.43,HEALTHY,NONE
2062.4,14.1278,348.0464,1.5556,1.5065,HEALTHY,NONE
1697.4,8.0308,330.8169,1.1865,1.0884,HEALTHY,NONE
1624.2,6.7165,324.9225,1.118,1.0099,HEALTHY,NONE
2025.4,13.249,350.1014,1.5485,1.4702,HEALTHY,NONE
2064.8,13.9281,355.571,1.5849,1.479,HEALTHY,NONE
2193.4,15.0,364.6044,1.7139,1.6019,HEALTHY,NONE
1788.8,9.3525,339.0619,1.3058,1.1904,HEALTHY,NONE
1760.4,8.8636,336.4214,1.2364,1.1531,HEALTHY,NONE
